Category,ProductName/Brand,Price,"In stock vs out of stock(1=in, 0 =out)",Image URL
Juice,ENDURO GRAPEFRUIT TA,0.69,1,"https://images-na.ssl-images-amazon.com/images/I/51lEwrCOQxL._SY450SX338_SY450_CR,0,0,338,450_PIbundle-8,TopRight,0,0_SX338_SY450_CR,0,0,338,450_SH20_.jpg"
Juice,ENDURO ORNG APRIC SI,0.69,1,https://images-na.ssl-images-amazon.com/images/I/91fkXwzfnJL._SL1500_.jpg
Juice,ENDURO CRANBERRY SIN,0.69,1,https://pics.drugstore.com/prodimg/509533/900.jpg
Juice,ENDURO LEMON ORNG SI,0.69,1,https://cdnimg.webstaurantstore.com/images/products/main/7850/82523/realemon-100-lemon-juice-8-48-oz-bottles-case.jpg
Juice,ENDURO POLYNESIAN PU,0.69,1,https://i5.walmartimages.com/asr/2674337c-fb85-4cf0-9683-71172f6a37c2_1.1e304240e75464430c0218368e0486ec.jpeg?odnWidth=282&odnHeight=282&odnBg=ffffff
Cookies,"Nabisco Oreo, Chips Ahoy!, & Golden Oreo Sweet Treats Variety Cookie Pack, 23.3 Oz., 30 Count",6.98,1,https://i5.walmartimages.com/asr/519bb1de-0f80-4197-8bc0-d8e75a56b143_2.0412ae8f204e31b6bb921f932e558269.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff
Cookies,"Pepperidge Farm Classic Collection Cookies, 13.25 oz. Box",5.98,1,https://i5.walmartimages.com/asr/829df827-e13e-4aa8-b531-ebc0198ce7f3_1.a71ba5386895b10bdc3790a327a8d077.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
Cookies,Meiji Hello Panda Strawberry Cream Biscuits 2 oz,1.69,1,https://target.scene7.com/is/image/Target/GUEST_cbd19eb4-7d36-452a-8993-586468571046?wid=488&hei=488&fmt=pjpeg
Cookies,Glico Pocky Strawberry Cream Covered Biscuit Sticks 2.47 oz,1.99,1,https://cdn.shopify.com/s/files/1/1520/9644/products/1_f880935c-3e62-4429-98e6-ae30102b9da4_1024x1024.jpg?v=1551212886
Cookies,Glico Pocky Chocolate Banana - 2.47oz,1.99,0,https://www.glico.com/assets/images/small/Pocky-ChocoBanana-70g.png
Vegetables,Beefsteak Tomatoes,2.99,1,https://cdn.shopify.com/s/files/1/2918/4630/products/image_3_c9a27eae-0a72-4bb2-9687-4034cc857d10.jpg?v=1527364228
Vegetables,Farmers Market Tomatoes,3.99,1,https://previews.123rf.com/images/erostunova/erostunova1606/erostunova160600228/58665022-ox-heart-or-bull-s-heart-tomatoes-at-organic-farmers-market.jpg
Vegetables,Farmer's Market Onion Yellow 3 Lb Usa,2.99,1,http://cnt.gianteagle.com/legacy/productimagesroot/DJ/0/1011440.jpg
Vegetables,Produce Watermelon Radish,3.99,0,https://www.specialtyproduce.com/sppics/1788.png
Vegetables,Celery Celery Hearts,3.99,1,https://www.dudafresh.com/hs-fs/hubfs/images-2017/p-main-celery-hearts-2.png?width=600&name=p-main-celery-hearts-2.png
Chips,Doritos potato chips (Spicy Nachos),1.68,1,https://www.doritos.com/sites/doritos.com/files/2018-08/new-spicy-nacho.png
Chips,Doritos potato chips (Nacho Cheese),1.68,1,https://www.doritos.com/sites/doritos.com/files/2018-08/new-nacho-cheese.png
Chips,Hua-yuan Vegetable Cracker,1.54,1,https://www.hyfoods.com.tw/wp-content/uploads/2017/04/18.jpg
Chips,Hua-yuan Potato chips (Oyster Omlete),1.47,0,https://img.shop.com/Image/270000/275600/275616/products/1735627369__400x400__.jpg
Chips,Pringles Cheedar Cheese,1.75,1,https://images.kglobalservices.com/www.pringles.com_us/en_us/product/kic-32077/prod_img-1395466_ched_low_res_png.png
Fruit,"Apples Gala - Extra Fancy, Organic",2.99,1,https://images-na.ssl-images-amazon.com/images/I/81VKH7OKfaL._SL1500_.jpg
Fruit,Chiquita Apple Bites,4.99,1,https://media.fooducate.com/products/images/180x180/514723CE-D53F-874B-4B98-B2E4BF1A3098-3706.jpeg
Fruit,Produce Baby Burro Bananas,1.79,1,http://cnt.gianteagle.com/legacy/productimagesroot/DJ/3/1015523.jpg
Fruit,Produce Baby Neno Banana,1.99,0,https://i.pinimg.com/474x/ff/b3/83/ffb3830b28eaddb66b7bd0fc1efa66ba--small-banana-fruta-fresca.jpg
Fruit,Oranges Navel,5.99,1,https://www.halegroves.com/blog/wp-content/uploads/2018/05/HG17_VALENCIABEAUTY-5.jpg
Fruit,Produce Blueberries 6 oz,3.99,0,https://az836796.vo.msecnd.net/media/image/product/en/medium/0003338322228.jpg
